filename,makespan,time,ub
3927_30j_10m,298.0,1800.3436214923859,298.0
3929_30j_10m,278.0,1800.3015534877777,278.0
3930_30j_10m,282.0,1800.298577785492,282.0
3932_30j_10m,292.0,1799.8636062145233,292.0
3933_30j_10m,290.0,1800.2949314117432,290.0
3934_30j_10m,275.0,1800.2919385433197,275.0
3936_30j_10m,281.0,1800.2985727787018,281.0
3937_30j_10m,267.0,1800.2470428943634,267.0
3939_30j_10m,279.0,1800.252998828888,279.0
3940_30j_10m,249.0,1800.276790857315,249.0
3941_30j_10m,260.0,1800.2213826179504,260.0
3943_30j_10m,266.0,1800.3594162464142,266.0
3944_30j_10m,284.0,1800.2481744289398,284.0
3946_30j_10m,282.0,1800.3092851638794,282.0
3947_30j_10m,279.0,1800.2395379543304,279.0
3948_30j_10m,270.0,1800.2484831809998,270.0
3950_30j_10m,285.0,1800.2662920951843,285.0
5056_40j_10m,369.0,1800.4626133441925,369.0
5058_40j_10m,370.0,1800.5080018043518,370.0
5059_40j_10m,353.0,1800.4793257713318,353.0
5101_40j_10m,367.0,1800.50310921669,367.0
5102_40j_10m,366.0,1800.4826548099518,366.0
5103_40j_10m,362.0,1800.3595187664032,362.0
5105_40j_10m,374.0,1800.4833626747131,374.0
5106_40j_10m,393.0,1800.4880447387695,393.0
5107_40j_10m,363.0,1800.4834065437317,363.0
5109_40j_10m,352.0,1800.4753022193909,352.0
5110_40j_10m,362.0,1800.4362394809723,362.0
5111_40j_10m,371.0,1800.519672870636,371.0
5113_40j_10m,370.0,1800.474686384201,370.0
5114_40j_10m,356.0,1800.4759006500244,356.0
5115_40j_10m,368.0,1800.48646402359,368.0
5117_40j_10m,369.0,1800.497531414032,369.0
5118_40j_10m,352.0,1800.4766674041748,352.0
5120_40j_10m,359.0,1800.4529266357422,359.0
5121_40j_10m,362.0,1800.4774470329285,362.0
5122_40j_10m,352.0,1082.1963863372803,352.0
5124_40j_10m,336.0,1800.5070774555206,336.0
5125_40j_10m,350.0,1800.4684844017029,350.0
5126_40j_10m,360.0,1800.4776620864868,360.0
5128_40j_10m,362.0,1047.926020860672,362.0
5129_40j_10m,375.0,1800.4663846492767,375.0
5130_40j_10m,358.0,1800.462334394455,358.0
5132_40j_10m,359.0,1800.4553644657135,359.0
5133_40j_10m,348.0,1800.4488325119019,348.0
